Entity,Code,Year,EmissionMT
Macroplastic,,1950,0
Macroplastic,,1951,400
Macroplastic,,1952,600
Macroplastic,,1953,1000
Macroplastic,,1954,1300
Macroplastic,,1955,1800
Macroplastic,,1956,2400
Macroplastic,,1957,3000
Macroplastic,,1958,3800
Macroplastic,,1959,4600
Macroplastic,,1960,5600
Macroplastic,,1961,6700
Macroplastic,,1962,8100
Macroplastic,,1963,9600
Macroplastic,,1964,11500
Macroplastic,,1965,13500
Macroplastic,,1966,16000
Macroplastic,,1967,18800
Macroplastic,,1968,22000
Macroplastic,,1969,25900
Macroplastic,,1970,30200
Macroplastic,,1971,34900
Macroplastic,,1972,40300
Macroplastic,,1973,46500
Macroplastic,,1974,53100
Macroplastic,,1975,59200
Macroplastic,,1976,66200
Macroplastic,,1977,73600
Macroplastic,,1978,81600
Macroplastic,,1979,90400
Macroplastic,,1980,99300
Macroplastic,,1981,108400
Macroplastic,,1982,117800
Macroplastic,,1983,127800
Macroplastic,,1984,138500
Macroplastic,,1985,149600
Macroplastic,,1986,161300
Macroplastic,,1987,174000
Macroplastic,,1988,187300
Macroplastic,,1989,201200
Macroplastic,,1990,215900
Macroplastic,,1991,231000
Macroplastic,,1992,247000
Macroplastic,,1993,263600
Macroplastic,,1994,281600
Macroplastic,,1995,300200
Macroplastic,,1996,320200
Macroplastic,,1997,341500
Macroplastic,,1998,363900
Macroplastic,,1999,387800
Macroplastic,,2000,413100
Macroplastic,,2001,439200
Macroplastic,,2002,466800
Macroplastic,,2003,495500
Macroplastic,,2004,525900
Macroplastic,,2005,557100
Macroplastic,,2006,590200
Macroplastic,,2007,625000
Macroplastic,,2008,658800
Macroplastic,,2009,693400
Macroplastic,,2010,730100
Macroplastic,,2011,768000
Macroplastic,,2012,807200
Macroplastic,,2013,847900
Macroplastic,,2014,890200
Macroplastic,,2015,934100
Macroplastic,,2016,979500
Macroplastic,,2017,1026500
Macroplastic,,2018,1075200
Macroplastic,,2019,1125400
Macroplastic,,2020,1177400
Microplastic,,1950,0
Microplastic,,1951,0
Microplastic,,1952,0
Microplastic,,1953,0
Microplastic,,1954,100
Microplastic,,1955,100
Microplastic,,1956,200
Microplastic,,1957,200
Microplastic,,1958,300
Microplastic,,1959,400
Microplastic,,1960,600
Microplastic,,1961,700
Microplastic,,1962,900
Microplastic,,1963,1200
Microplastic,,1964,1500
Microplastic,,1965,1800
Microplastic,,1966,2200
Microplastic,,1967,2700
Microplastic,,1968,3300
Microplastic,,1969,3900
Microplastic,,1970,4700
Microplastic,,1971,5600
Microplastic,,1972,6600
Microplastic,,1973,7900
Microplastic,,1974,9300
Microplastic,,1975,10800
Microplastic,,1976,12600
Microplastic,,1977,14600
Microplastic,,1978,16800
Microplastic,,1979,19300
Microplastic,,1980,22000
Microplastic,,1981,25000
Microplastic,,1982,28200
Microplastic,,1983,31700
Microplastic,,1984,35600
Microplastic,,1985,39700
Microplastic,,1986,44200
Microplastic,,1987,49100
Microplastic,,1988,54300
Microplastic,,1989,59900
Microplastic,,1990,65900
Microplastic,,1991,72400
Microplastic,,1992,79300
Microplastic,,1993,86800
Microplastic,,1994,94700
Microplastic,,1995,103100
Microplastic,,1996,112100
Microplastic,,1997,121700
Microplastic,,1998,132000
Microplastic,,1999,142900
Microplastic,,2000,154500
Microplastic,,2001,166900
Microplastic,,2002,180100
Microplastic,,2003,194100
Microplastic,,2004,209000
Microplastic,,2005,224700
Microplastic,,2006,241400
Microplastic,,2007,259200
Microplastic,,2008,277900
Microplastic,,2009,297700
Microplastic,,2010,318500
Microplastic,,2011,340400
Microplastic,,2012,363400
Microplastic,,2013,387600
Microplastic,,2014,413100
Microplastic,,2015,439800
Microplastic,,2016,467800
Microplastic,,2017,497200
Microplastic,,2018,528000
Microplastic,,2019,560200
Microplastic,,2020,594000
